trail_id,user_id,condition_report,datetime
17,10,Muddy,2019-04-19 18:43:54
9,4,Great and sunny!,2019-07-04 14:50:30
10,10,A little chilly but nice,2019-01-14 15:54:55
4,15,Muddy,2019-05-28 9:12:05
44,8,Muddy,2018-11-28 20:45:08
11,1,Great and sunny!,2019-04-19 14:42:58
25,40,Muddy,2019-07-24 13:59:29
3,3,Great and sunny!,2019-05-30 17:15:27
41,37,Nice day!,2018-12-08 8:58:58
6,23,Nice day!,2019-05-05 12:30:54
26,15,Nice day!,2019-07-24 12:44:53
40,11,Nice day!,2019-06-19 18:50:28
3,40,Great and sunny!,2019-07-20 12:42:41
6,49,Great and sunny!,2019-04-28 8:31:56
8,44,Great and sunny!,2019-04-11 18:35:01
17,19,Nice day!,2019-01-18 17:55:57
15,46,Nice day!,2019-03-15 17:54:40
47,3,Nice day!,2019-01-10 20:19:13
26,34,Nice day!,2019-04-21 18:02:26
46,6,Muddy,2019-03-28 20:46:02
17,39,Great and sunny!,2018-12-10 13:01:03
33,24,Nice day!,2019-04-11 7:17:49
21,44,Great and sunny!,2018-12-16 16:34:09
21,32,Nice day!,2019-03-07 13:41:16
18,16,Nice day!,2019-01-15 9:35:06
25,22,Nice day!,2019-06-09 11:11:16
45,8,Muddy,2019-07-22 8:26:54
10,43,Great and sunny!,2019-07-12 6:02:59
13,6,Nice day!,2019-07-16 9:12:58
33,4,A little chilly but nice,2018-12-10 5:45:07
13,32,Nice day!,2019-01-22 9:10:02
45,23,Snowy,2019-01-30 20:19:27
45,35,Snowy,2018-11-17 19:56:40
50,34,Snowy,2019-03-15 9:38:36
34,2,A little chilly but nice,2018-11-19 16:49:39
61,19,Snowy,2019-03-20 13:12:32
29,22,A little chilly but nice,2019-02-11 7:48:32
18,33,Nice day!,2019-05-17 14:00:58
8,12,Great and sunny!,2019-07-03 16:00:52
4,29,Nice day!,2019-06-29 16:39:55
38,36,Great and sunny!,2019-05-03 13:34:50
32,42,Snowy,2019-03-21 10:58:54
58,3,Snowy,2019-01-13 18:29:05
48,15,Snowy,2019-02-16 18:49:47
46,44,Snowy,2019-02-21 11:04:59
43,45,Great and sunny!,2019-06-30 16:54:45
16,20,Fallen tree,2019-01-28 5:58:45
12,32,lots of tree branches down,2019-05-27 19:21:58
52,22,fallen tree,2019-05-21 20:36:01
56,31,snowy,2019-01-12 19:30:13
34,16,windy,2019-06-28 6:51:23
35,36,snowy,2019-01-31 18:52:53
26,29,great and sunny!,2019-06-07 16:13:54
16,27,Windy day,2019-05-26 16:45:59
48,7,Wet and muddy,2019-04-27 9:39:20
36,13,wet and muddy,2019-04-26 12:49:57
53,2,Windy day,2019-02-14 18:21:24
6,37,great and sunny!,2019-03-14 13:04:01
18,35,A little chilly but nice,2019-05-28 9:46:16
29,31,Windy day,2019-03-09 11:43:22
23,18,Wet and muddy,2019-04-06 17:04:23
7,21,Windy day,2019-06-28 12:38:49
6,38,Great and sunny!,2019-02-25 14:15:24
56,20,Breeze felt great,2019-07-11 18:22:02
53,29,Icy and slippery,2019-02-10 15:44:47
5,20,Windy day,2019-03-27 19:03:04
57,38,Icy and slippery,2019-02-12 18:30:37
31,27,Breeze felt great,2018-11-05 8:19:44
56,27,Icy and slippery,2019-03-14 14:55:19
7,38,A little chilly but nice,2018-11-17 6:03:05
33,5,Tree down across main path,2019-06-14 12:30:50
28,17,Windy day,2018-12-13 20:12:57
8,2,Breeze felt great,2019-06-29 12:40:10
51,7,Breeze felt great,2019-06-10 13:05:07
18,40,A little chilly but nice,2018-11-07 6:29:13
6,21,A little chilly but nice,2019-02-11 19:11:30
32,8,A little chilly but nice,2019-02-21 17:27:22
29,34,A little chilly but nice,2019-04-10 9:52:24
51,7,Snowy,2018-11-22 14:00:37
51,45,A little chilly but nice,2019-07-14 12:11:45
6,50,A little chilly but nice,2019-02-06 20:03:00
