trail_id,feature_id
1,8
1,14
1,15
1,16
2,5
2,8
2,14
2,15
2,16
3,2
3,4
3,7
3,8
3,11
3,14
4,4
4,5
4,5
4,11
4,14
4,16
5,11
5,15
5,16
6,5
6,8
6,10
6,11
6,15
6,16
7,5
7,8
7,11
7,13
7,16
8,6
8,11
8,14
8,15
8,16
8,18
9,3
9,4
9,6
9,10
9,11
9,14
9,15
9,16
10,4
10,8
10,11
10,14
10,15
10,16
10,17
10,18
37,22
37,21
37,12
37,13
37,14
37,15
37,16
37,5
37,1
36,11
36,12
36,13
36,14
36,15
36,16
36,21
36,22
28,11
38,21
60,14
60,11
40,1
40,5
40,11
40,13
40,15
40,16
40,3
41,13
41,15
41,16
41,1
42,1
42,3
42,4
42,5
42,11
42,13
42,14
42,15
42,19
42,10
50,11
50,13
50,15
43,4
43,16
43,22
43,1
43,15
43,13
43,7
52,1
52,4
52,11
52,13
52,15
52,20
52,23
52,24
46,1
46,5
46,13
46,15
46,16
46,19
61,1
61,5
61,11
61,13
61,14
61,15
61,16
61,17
61,19
47,1
47,3
47,4
47,5
47,7
47,10
47,11
47,13
47,14
47,15
47,16
39,22
39,11
39,13
39,15
39,16
45,13
45,11
48,11
48,13
48,15
48,20
48,21
48,24
49,11
49,13
49,15
49,20
49,24
51,11
51,13
51,15
51,16
53,3
53,5
53,11
53,13
53,15
53,16
53,21
53,24
53,23
54,5
54,11
54,15
54,16
54,22
55,9
55,11
55,13
55,16
55,15
55,22
56,1
56,13
56,15
56,16
57,1
57,5
57,11
57,13
57,15
57,16
57,19
57,22
58,1
58,3
58,4
58,10
58,11
58,13
58,16
58,19
59,11
59,12
59,13
59,15
59,16
59,19
59,22
44,11
44,13
44,14
44,15
44,16
44,21
62,7
62,11
62,9
62,14
63,15
63,16
63,14
64,15
64,9
65,13
65,15
66,13
66,1
66,7
67,16
67,15
67,11
68,1
68,11
68,16
69,14
69,15
70,15
70,14
70,11
71,14
71,15
71,16
72,23
72,24
72,9
73,15
74,15
75,15
75,19
76,15
76,16
77,22
78,16
78,13
78,11
79,1
79,16
80,15
81,11
82,1
82,26
83,25
83,26
84,1
84,15
85,26
85,5
86,11
86,13
86,15
87,15
87,25
88,1
89,1
89,26
90,25
91,1
92,7
92,22
92,24
93,1
94,16
95,26
96,26
96,16
